Unnamed: 0,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
142,3,12,9,3,19,5,24,0,21,4,27,12,22,8,15,5,9,20,12,1,25,4,26,23,6,15,13,6,20
143,3,23,8,4,14,3,26,18,20,28,26,17,19,10,26,25,14,26,2,5,15,5,25,24,8,20,19,15,25
146,3,24,8,5,19,28,11,21,20,20,26,21,23,17,23,16,6,12,7,12,24,18,22,1,10,9,22,8,8
147,3,18,10,6,24,24,17,28,5,1,13,3,13,27,18,2,24,28,12,7,27,25,22,24,1,4,19,20,24
148,3,22,8,2,25,28,1,27,0,17,23,18,4,17,17,9,29,7,8,21,28,25,13,2,23,4,16,5,14
149,3,19,16,10,26,27,5,8,17,9,7,20,10,27,17,6,25,3,1,26,26,26,9,0,27,5,14,2,22
150,3,14,21,2,4,10,15,1,25,7,21,8,24,15,18,12,29,6,3,28,24,18,24,15,6,8,19,8,4
151,3,24,10,11,22,14,22,23,4,18,11,12,5,10,27,24,11,5,1,24,20,11,10,14,16,14,20,0,11
154,3,23,10,8,19,12,21,16,12,20,15,21,29,7,27,24,15,0,0,27,19,8,6,13,20,17,20,0,23
155,3,25,5,4,6,23,28,28,13,16,22,9,27,17,23,20,6,29,29,4,8,15,18,11,13,17,0,17,0
156,3,20,9,2,22,11,23,1,22,14,29,17,25,10,12,24,10,18,22,26,17,7,20,13,11,19,18,5,22
157,3,24,8,3,22,5,27,18,20,1,10,3,17,10,27,25,12,26,2,3,11,9,23,23,9,17,24,21,2
158,3,17,10,6,27,24,10,25,2,6,19,23,2,28,17,3,24,5,10,10,0,22,20,1,1,3,13,11,7
159,3,21,8,2,22,12,29,28,6,15,19,16,27,19,20,11,0,7,15,14,26,22,21,14,3,4,17,8,15
162,4,15,25,25,18,17,0,29,1,5,8,19,8,19,8,18,0,14,27,21,8,18,15,0,26,10,1,17,2
163,4,12,8,8,22,5,17,5,6,10,26,0,15,6,8,8,14,1,1,23,10,7,6,17,22,21,3,13,4
164,4,7,14,17,27,23,8,2,16,3,18,18,29,12,11,7,7,15,19,3,16,2,27,26,4,24,0,27,6
165,4,20,12,15,16,25,6,12,12,15,10,9,1,20,21,16,3,6,1,24,23,17,15,11,11,10,13,4,18
166,4,20,20,22,26,22,12,29,4,10,7,18,11,29,27,9,22,3,18,25,26,25,22,25,4,1,12,3,5
167,4,17,24,1,8,21,1,27,3,8,8,18,10,28,14,7,23,4,11,6,0,25,6,0,9,5,5,7,9
170,4,22,25,25,18,22,22,28,3,14,8,15,8,25,16,5,28,12,29,28,27,22,17,14,7,4,12,17,16
171,4,8,18,18,15,8,26,22,10,0,24,8,13,5,12,3,6,15,20,14,9,9,10,6,17,22,1,25,6
172,4,1,0,9,0,16,15,22,2,14,7,8,0,17,2,22,28,4,25,24,7,19,6,6,22,11,0,24,6
173,4,6,17,15,15,14,2,26,3,6,3,27,4,12,7,5,6,14,21,7,20,14,16,1,27,11,12,10,13
174,4,7,16,22,26,17,16,18,6,4,7,23,7,15,11,12,2,4,23,18,5,16,24,19,7,6,25,26,0
175,4,6,9,8,0,5,24,16,10,7,26,0,13,5,15,2,7,0,1,22,8,9,7,12,24,18,7,10,3
178,4,22,11,11,16,18,24,22,12,14,14,3,22,20,24,19,9,15,6,12,18,13,16,14,14,15,14,4,14
179,4,20,7,7,27,18,18,20,1,20,0,28,5,25,13,7,26,4,0,29,27,22,16,8,2,1,13,25,16
180,4,10,19,18,19,8,28,27,8,7,7,28,2,6,11,3,10,8,13,18,10,7,12,5,22,22,23,25,17
181,4,7,22,3,22,12,14,11,5,4,21,1,15,18,16,22,4,8,13,18,21,15,1,9,26,9,12,11,13
182,4,27,28,28,21,23,11,12,9,19,21,29,28,15,5,27,13,11,3,25,15,6,4,18,24,23,11,1,10
183,4,6,20,20,18,11,21,29,7,4,8,26,6,6,16,4,4,28,28,17,12,10,14,1,27,17,8,15,20
186,4,10,19,18,18,13,20,17,11,6,5,28,5,6,6,6,11,0,0,29,9,6,11,5,14,22,3,17,8
187,4,1,3,5,0,22,0,29,3,5,5,27,3,11,9,11,29,8,25,18,5,15,9,1,26,11,23,9,17
188,4,24,23,24,25,9,3,15,27,16,12,20,4,20,17,17,2,9,3,24,22,17,8,17,17,10,15,6,12
189,4,21,14,15,20,18,22,18,17,9,16,1,19,22,19,24,16,20,9,6,17,8,7,15,20,20,13,3,14
190,4,19,7,11,27,21,3,11,0,15,8,19,6,29,25,8,22,6,1,28,28,25,10,19,0,0,20,27,15
191,4,6,7,14,10,11,25,20,8,3,7,22,9,12,4,12,1,7,22,16,5,16,11,5,14,11,3,9,10
194,4,27,28,28,20,18,9,11,25,11,8,19,7,28,19,4,23,4,2,29,28,25,12,16,28,0,14,6,19
195,4,7,8,8,9,15,21,17,28,2,14,17,13,18,5,18,28,4,23,15,7,19,10,6,14,8,3,12,3
196,4,17,7,15,28,19,25,26,10,16,7,28,2,16,2,21,28,8,7,22,24,19,11,7,13,8,11,11,13
197,4,15,8,14,23,2,18,5,15,6,27,3,16,14,3,26,14,16,15,19,13,5,5,12,23,21,13,0,7
198,4,5,10,11,25,9,8,7,11,9,20,22,25,7,11,5,11,18,19,3,10,27,0,26,0,20,2,23,2
